"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","DelIn2Yr"
0.002259682,57,0,1596,11,0,1,0,"0"
0.214896376,59,0,3158,12,0,1,0,"0"
0.08145927,44,0,4,1,0,0,0,"1"
0.025838966,40,0,0.191694606,4,0,2,0,"0"
0.026098695,64,0,714,2,0,1,0,"0"
0.090527229,66,0,0.167418643,6,0,1,0,"0"
0.098464881,45,0,0.158130994,9,0,1,0,"0"
0.041078861,29,0,0.119078605,5,0,0,0,"0"
0.467481466,60,1,6417,13,0,4,0,"0"
0.011999636,88,0,0.31258967,7,0,1,1,"0"
0.953772787,65,0,0.358460176,4,0,2,0,"0"
0.088580496,61,0,0.3276411,7,0,2,0,"0"
0.376569038,37,0,1.707743547,8,0,1,0,"0"
0.00860487,76,0,12,7,0,0,0,"0"
0.759766591,29,0,0.244747759,12,0,1,0,"0"
0.252145655,33,0,0.823055163,7,0,3,0,"0"
0.042795885,52,0,1896,12,0,1,0,"0"
0.377501132,36,1,0.602209945,13,0,2,0,"0"
0.9999999,36,0,0.016419324,0,0,0,0,"0"
0.000333286,64,0,0.158245567,7,1,0,1,"0"
0.10046561,51,1,0.445230819,12,0,2,0,"1"
0.945224251,61,0,0.353220565,12,0,2,0,"0"
0.48394718,64,1,0.316748979,16,0,2,1,"0"
0.521788535,62,0,0.49626977,2,0,1,0,"0"
0.682926829,77,0,0.433377601,6,0,1,0,"0"
0.101281306,41,0,0.411993337,11,0,0,0,"0"
0.674234534,38,0,0.30647926,6,0,0,0,"0"
0.532392113,67,0,7.664823009,12,0,3,0,"0"
0,62,0,1526,4,0,1,0,"0"
0.134211556,84,0,2522,8,0,2,0,"0"
0.534271503,64,0,0.60807126,9,0,1,0,"0"
0.902863751,47,1,0.618192164,10,0,2,0,"0"
0.067693909,50,0,0.163607686,10,0,0,0,"0"
1.278065385,68,0,2703,15,0,2,0,"0"
0.239146014,57,0,0.43247567,8,0,2,0,"0"
0.150131458,56,0,0.220463256,7,0,2,0,"0"
0.145023749,52,0,0.097439101,6,0,0,0,"0"
0.077665036,66,0,0.291598269,16,0,1,0,"0"
0.405584549,69,0,0.228663254,10,0,1,0,"0"
0.543964507,31,0,0.101550316,10,0,0,0,"0"
0.077675767,30,0,0.086365454,3,0,0,0,"0"
0.256782881,44,0,0.156603107,5,0,1,0,"0"
0,57,0,684,7,0,0,0,"0"
0.875815618,64,0,124,2,2,0,0,"0"
0,32,0,0.268574789,7,0,2,0,"0"
0.937306269,47,0,0.229874191,4,0,3,0,"0"
0.03929532,52,0,0.306584877,8,0,1,0,"0"
0.029012904,46,0,1194,7,0,1,0,"0"
0.087021826,54,0,814,11,0,0,0,"0"
0.018107966,31,0,0.178912352,10,2,0,0,"1"
0.9999999,70,0,0.166211471,4,0,1,0,"0"
0.75751783,33,1,0.346750417,11,0,1,0,"0"
0.102327324,74,0,0.538861386,13,0,1,0,"0"
0.654638727,38,0,0.05399568,4,0,0,0,"0"
0.009124772,62,0,0.002352388,1,0,0,0,"0"
0.058612379,63,0,0.117400419,3,0,0,0,"0"
0.69252847,30,3,0.269824708,12,1,0,1,"0"
0.065043675,54,0,0.243146404,8,0,2,0,"0"
0.04194966,76,1,0.420664207,11,0,1,0,"0"
0.060029618,56,0,0.149109727,9,0,1,0,"0"
0.947705229,28,1,0.100437416,8,0,0,0,"0"
0.656231289,61,0,0.527714572,25,0,2,0,"0"
0,33,0,0.141247834,5,0,0,0,"0"
0.009166384,72,0,0.068150209,5,0,1,0,"0"
